timestamp,step,phase,cpu_util_percent,gpu_util_percent,gpu_mem_mb,gpu_power_w,host_mem_mb,disk_read_mb_s,disk_write_mb_s
2026-04-21T02:01:28.575+00:00,325,forward,107.489,100.000,681.428,298.490,1201.023,0.000,0.000
2026-04-21T02:01:28.706+00:00,330,optimizer,99.962,100.000,143.019,298.000,1201.086,0.000,0.000
2026-04-21T02:01:28.834+00:00,336,backward,99.695,100.000,1181.737,296.810,1201.148,0.000,0.389
2026-04-21T02:01:28.963+00:00,340,idle,101.667,100.000,143.019,299.140,1201.148,0.000,0.000
2026-04-21T02:01:29.092+00:00,347,forward,101.060,100.000,1508.453,299.230,1201.148,0.000,0.729
2026-04-21T02:01:29.221+00:00,350,idle,92.585,100.000,143.019,299.030,1201.211,0.000,0.000
2026-04-21T02:01:29.352+00:00,358,forward,108.425,100.000,1585.012,298.690,1201.148,0.000,0.000
2026-04-21T02:01:29.480+00:00,360,idle,99.333,100.000,503.179,298.690,1201.211,0.000,0.000
2026-04-21T02:01:29.611+00:00,368,optimizer,100.918,100.000,1424.057,298.500,1201.023,0.000,0.000
2026-04-21T02:01:29.740+00:00,370,idle,99.597,100.000,1092.176,297.930,1201.211,0.000,0.000
2026-04-21T02:01:29.872+00:00,379,backward,108.869,100.000,143.019,297.870,1201.086,0.000,0.000
2026-04-21T02:01:30.001+00:00,384,dataloader,98.585,100.000,1229.737,298.900,1202.086,0.000,0.000
2026-04-21T02:01:30.134+00:00,390,backward,93.241,100.000,143.019,299.270,1201.148,0.000,1.002
2026-04-21T02:01:30.263+00:00,396,backward,112.594,100.000,1125.989,299.150,1201.148,0.000,0.000
2026-04-21T02:01:30.393+00:00,400,idle,92.585,100.000,143.019,299.090,1201.148,0.000,0.000
2026-04-21T02:01:30.523+00:00,407,forward,99.845,100.000,1348.799,299.200,1201.211,0.000,0.000
2026-04-21T02:01:30.652+00:00,410,idle,100.466,100.000,143.019,299.040,1201.211,0.000,0.000
2026-04-21T02:01:30.782+00:00,418,forward,100.291,100.000,1585.012,298.290,1201.211,0.000,0.000
2026-04-21T02:01:30.911+00:00,420,idle,100.691,100.000,1585.012,298.270,1201.211,0.000,0.000
2026-04-21T02:01:31.040+00:00,428,optimizer,100.440,100.000,1123.525,299.050,1201.211,0.000,0.000
2026-04-21T02:01:31.173+00:00,430,idle,108.506,100.000,640.180,299.060,1201.148,0.000,0.000
2026-04-21T02:01:31.304+00:00,439,optimizer,97.722,100.000,143.019,298.980,1201.086,0.000,0.000
2026-04-21T02:01:31.434+00:00,445,dataloader,99.214,100.000,669.428,298.910,1201.211,0.000,0.000
2026-04-21T02:01:31.567+00:00,450,optimizer,99.625,100.000,143.019,298.990,1201.148,0.000,0.000
2026-04-21T02:01:31.697+00:00,456,backward,98.102,100.000,681.428,298.640,1201.152,0.000,0.000
2026-04-21T02:01:31.831+00:00,460,idle,100.174,100.000,143.019,298.230,1201.148,0.000,3.943
2026-04-21T02:01:31.960+00:00,467,backward,104.196,100.000,688.836,298.990,1201.211,0.000,0.000
2026-04-21T02:01:32.091+00:00,470,idle,100.753,100.000,143.019,299.140,1201.086,0.000,0.000
2026-04-21T02:01:32.220+00:00,478,backward,99.377,100.000,907.426,299.110,1201.086,0.000,0.000
2026-04-21T02:01:32.351+00:00,480,idle,101.231,100.000,1585.012,298.720,1201.211,0.000,1.308
2026-04-21T02:01:32.479+00:00,489,backward,99.009,100.000,1181.737,298.830,1201.148,0.000,0.000
2026-04-21T02:01:32.611+00:00,491,dataloader,101.245,100.000,606.960,298.930,1202.211,0.000,0.000
2026-04-21T02:01:32.741+00:00,500,forward,105.708,100.000,145.519,298.010,1201.211,0.000,0.000
2026-04-21T02:01:32.872+00:00,500,forward,101.016,100.000,146.269,298.060,1201.148,0.000,0.000
2026-04-21T02:01:33.001+00:00,500,forward,98.642,92.000,146.269,298.150,1201.211,0.000,0.000
2026-04-21T02:01:33.133+00:00,500,dataloader,100.982,87.000,146.269,297.730,1201.148,0.000,0.000
2026-04-21T02:01:33.266+00:00,500,forward,105.829,87.000,145.519,297.840,1201.211,0.000,0.000
2026-04-21T02:01:33.395+00:00,500,forward,98.018,87.000,146.269,297.610,1201.211,0.000,0.000
2026-04-21T02:01:33.531+00:00,500,forward,92.959,87.000,145.519,298.080,1201.211,0.000,0.000
2026-04-21T02:01:33.660+00:00,500,forward,110.601,87.000,145.519,297.700,1201.211,0.000,0.000
2026-04-21T02:01:33.791+00:00,500,dataloader,100.255,87.000,145.519,298.110,1202.148,0.000,0.000
2026-04-21T02:01:33.918+00:00,500,dataloader,99.614,87.000,145.519,298.180,1202.211,0.000,0.090
2026-04-21T02:01:34.050+00:00,500,forward,102.267,86.000,145.519,298.570,1201.211,0.000,0.000
2026-04-21T02:01:34.178+00:00,500,forward,98.382,87.000,145.519,298.720,1201.148,0.000,0.000
2026-04-21T02:01:34.311+00:00,500,forward,109.486,87.000,145.519,298.730,1201.211,0.000,0.000
2026-04-21T02:01:34.438+00:00,500,dataloader,97.941,87.000,145.519,298.460,1201.148,0.000,0.000
2026-04-21T02:01:34.570+00:00,500,forward,102.281,88.000,145.519,298.700,1201.148,0.000,0.000
2026-04-21T02:01:34.699+00:00,500,forward,98.588,88.000,145.519,298.080,1201.148,0.000,0.385
2026-04-21T02:01:34.831+00:00,500,forward,100.425,88.000,145.519,298.300,1201.148,0.000,0.000
2026-04-21T02:01:34.960+00:00,500,forward,98.990,88.000,219.957,298.720,1201.148,0.000,0.000
2026-04-21T02:01:35.090+00:00,500,forward,100.467,88.000,146.269,299.090,1201.148,0.000,0.000
2026-04-21T02:01:35.230+00:00,500,forward,94.141,88.000,145.519,298.780,1201.148,0.000,0.905
2026-04-21T02:01:35.359+00:00,500,forward,113.523,88.000,145.519,298.560,1201.148,0.000,0.000
2026-04-21T02:01:35.490+00:00,500,forward,100.475,88.000,145.519,298.670,1201.148,0.000,0.000
2026-04-21T02:01:35.619+00:00,500,forward,99.927,88.000,145.519,298.600,1201.148,0.000,0.000
2026-04-21T02:01:35.750+00:00,500,forward,100.416,88.000,146.269,298.780,1201.148,0.000,0.000
2026-04-21T02:01:35.878+00:00,500,forward,99.746,88.000,146.269,298.720,1201.148,0.000,0.000
2026-04-21T02:01:36.010+00:00,500,forward,101.343,88.000,146.269,298.950,1201.148,0.000,0.000
2026-04-21T02:01:36.133+00:00,500,checkpoint,98.159,51.000,143.019,284.170,1204.648,0.000,0.000
2026-04-21T02:01:36.273+00:00,500,forward,77.152,51.000,186.195,268.600,1200.594,0.000,949.064
2026-04-21T02:01:36.402+00:00,509,backward,97.576,40.000,1092.176,268.230,1200.531,0.000,0.000
2026-04-21T02:01:36.534+00:00,511,backward,108.189,100.000,889.899,268.740,1200.594,0.000,0.000
2026-04-21T02:01:36.665+00:00,520,backward,98.623,100.000,143.019,268.970,1200.656,0.000,0.000
2026-04-21T02:01:36.796+00:00,525,backward,99.038,100.000,656.398,268.580,1200.656,0.000,0.000
2026-04-21T02:01:36.926+00:00,530,idle,99.974,100.000,143.019,269.250,1200.406,0.000,0.000
2026-04-21T02:01:37.055+00:00,536,backward,107.366,100.000,186.214,269.480,1200.656,0.000,3.924
2026-04-21T02:01:37.187+00:00,540,idle,93.322,100.000,143.019,269.480,1200.594,0.000,0.000
2026-04-21T02:01:37.317+00:00,547,backward,105.740,100.000,304.618,282.620,1200.656,0.000,0.000
2026-04-21T02:01:37.449+00:00,550,idle,92.418,100.000,143.019,299.710,1200.594,0.000,0.000
2026-04-21T02:01:37.579+00:00,558,backward,105.222,100.000,413.369,299.410,1200.656,0.000,0.117
2026-04-21T02:01:37.709+00:00,560,idle,108.631,100.000,1585.263,299.140,1200.656,0.000,0.000
2026-04-21T02:01:37.838+00:00,569,backward,99.528,100.000,580.085,299.650,1200.594,0.000,0.000
2026-04-21T02:01:37.971+00:00,572,backward,100.413,100.000,1585.012,299.630,1200.594,0.000,0.000
2026-04-21T02:01:38.101+00:00,580,backward,98.504,100.000,143.019,299.240,1200.656,0.000,0.000
2026-04-21T02:01:38.233+00:00,585,optimizer,99.438,100.000,1587.263,298.380,1200.594,0.000,0.000
2026-04-21T02:01:38.365+00:00,590,idle,98.487,100.000,143.019,299.550,1200.594,0.000,0.000
